"Calendar_Year","Sector_General","Sector_Detail1","Sector_Detail2","Sector_GPC","Sector_GPC_Detail","Commodity_Type","Emissions_mtCO2e","Biogenic_Emissions_mtCO2e","Quantity","Quantity_Units"
"2019","Transportation","Public Transportation","Bus - Golden Gate Transit","Transportation","On-Road Transportation - Golden Gate Transit Buses","Renewable Diesel","68.66","6,040.08","645,618.50","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable CNG","67.43","3,064.83","506,857.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable Diesel","263.72","11,987.45","1,281,327.00","gallons"
"2019","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","Renewable Diesel","366.62","32,253.26","3,447,519.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable CNG","132.74","2,569.40","424,923.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable Diesel","3.93","339.68","36,308.00","gallons"
"2019","Transportation","Public Transportation","Ferry","Transportation","Waterborne Navigation - Ferry","Diesel",,,"0.00","mtCO2e"
"2019","Transportation","Public Transportation","Ferry","Transportation","Waterborne Navigation - Ferry","Renewable Diesel","14.28","551.97","59,000.00","gallons"
"2020","Buildings","Commercial & Industrial","Steam - NRG","Stationary","Commercial & Institutional Buildings and Facilities","Steam",,"0.00","0.00","mtCO2e"
"2020","Buildings","Commercial & Industrial",,"Stationary","Commercial & Institutional Buildings and Facilities","Electricity",,"0.00","0.00","mtCO2e"
"2020","Buildings","Residential","Other Residential Fuel Usage","Stationary","Commercial & Institutional Buildings and Facilities","LPGas, Liquid fuel, solid fuel","20,350.37","0.00","0.00","mtCO2e"
"2020","Buildings","Commercial & Industrial","Additional Stationary Sources","Stationary","Energy Industries","Gas Oil","53.90","0.00","0.00","mtCO2e"
"2020","Agriculture","Agriculture/Farming","Agriculture/Farming","Stationary","Agriculture, Forestry and Fishing Activities","Other Unspecified Fuels","113.90","0.00","0.00","mtCO2e"
"2020","Transportation","Off-Road Equipment","Off-Road Equipment","Stationary","Non-specified Sources","Other Unspecified Fuels","137,509.98","0.00","0.00","mtCO2e"
"2020","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels","84,519.59","0.00","0.00","mtCO2e"
"2020","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels","13.71","0.00","0.00","mtCO2e"
"2020","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels",,"0.00","0.00","mtCO2e"
"2020","Buildings","Commercial & Industrial","Steam - NRG","Stationary","Commercial & Institutional Buildings and Facilities","Steam","49,263.66","0.00","9,282,705.01","Therm"
"2020","Landfilled Organics","Landfilled Organics","Landfilled Organics","Waste","Solid Waste Disposal","Solid Waste","255,762.52","0.00","510,762.00","tons"
"2020","Wastewater","Wastewater (Process)","Wastewater (Process)","Waste","Wastewater Treatment and Discharge","Process Emissions","926.40","0.00","873,965.00","people"
"2020","Wastewater","Wastewater (Fugitive)","Wastewater (Fugitive)","Waste","Wastewater Treatment and Discharge","Fugitive Emissions","4,605.98","0.00","12,124.00","Avg kgN/day"
"2020","Buildings","Residential","PG&E Residential","Stationary","Residential Buildings","Natural Gas","674,897.03","0.00","126,794,702.00","Therm"
"2020","Buildings","Commercial & Industrial","PG&E Commercial & Industrial","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","354,440.71","0.00","66,589,719.00","Therm"
"2020","Municipal","Municipal Buildings","PG&E Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","104,984.19","0.00","19,723,658.89","Therm"
"2020","Buildings","Commercial & Industrial","PG&E District","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","349.93","0.00","65,742.00","Therm"
"2020","Buildings","Residential","PG&E Residential Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","127,126.68","0.00","2,294,984.11","Therm"
"2020","Buildings","Commercial & Industrial","PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","66,764.06","0.00","1,205,273.91","Therm"
"2020","Municipal","Municipal Buildings","PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","19,775.30","0.00","356,998.23","Therm"
"2020","Buildings","Commercial & Industrial","PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","65.91","0.00","1,189.93","Therm"
"2020","Buildings","Residential","PG&E Residential","Stationary","Residential Buildings","Electricity","5,092.45","0.00","69,320,135.00","kWh"
"2020","Buildings","Residential","CleanPowerSF Residential Green Product","Stationary","Residential Buildings","Electricity","48,442.30","0.00","2,701,095,980.00","kWh"
"2020","Buildings","Residential","CleanPowerSF Residential SuperGreen Product","Stationary","Residential Buildings","Electricity","0.00","0.00","134,908,570.00","kWh"
"2020","Buildings","Residential","PG&E Residential Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","858.93","0.00","3,673,967.16","kWh"
"2020","Buildings","Residential","CleanPowerSF Residential Green Product Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","2,049.11","0.00","114,256,359.95","kWh"
"2020","Buildings","Residential","CleanPowerSF Residential SuperGreen Product Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","0.00","0.00","5,706,632.51","kWh"
"2020","Buildings","Direct Access","PG&E Direct Access","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","79,191.69","0.00","338,731,612.23","kWh"
"2020","Municipal","Municipal Buildings","PG&E Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","125.89","0.00","1,713,696.00","kWh"
"2020","Municipal","Municipal Buildings","SFPUC Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","951,085,560.00","kWh"
"2020","Municipal","Municipal Buildings","PG&E Municipal Buildings Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","21.23","0.00","90,825.89","kWh"
"2020","Buildings","Commercial & Industrial","PG&E Commercial & Industrial","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","47,680.58","0.00","649,044,218.00","kWh"
